create_time,destination_id,exit_code,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,matrixFile,matrixFile_filetype,object_store_id,param_filename,parameters.advancedOpt.__current_case__,parameters.advancedOpt.alpha,parameters.advancedOpt.averageTypeSummaryPlot,parameters.advancedOpt.colorList,parameters.advancedOpt.colorMap,parameters.advancedOpt.endLabel,parameters.advancedOpt.heatmapHeight,parameters.advancedOpt.heatmapWidth,parameters.advancedOpt.missingDataColor,parameters.advancedOpt.perGroup,parameters.advancedOpt.plotTitle,parameters.advancedOpt.referencePointLabel,parameters.advancedOpt.regionsLabel,parameters.advancedOpt.samplesLabel,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.sortRegions,parameters.advancedOpt.sortUsing,parameters.advancedOpt.startLabel,parameters.advancedOpt.used_multiple_regions.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.__current_case__,parameters.advancedOpt.used_multiple_regions.clustering.clustering_options,parameters.advancedOpt.used_multiple_regions.clustering.k_kmeans,parameters.advancedOpt.used_multiple_regions.clustering.n_hclust,parameters.advancedOpt.used_multiple_regions.used_multiple_regions_options,parameters.advancedOpt.whatToShow,parameters.advancedOpt.xAxisLabel,parameters.advancedOpt.yAxisLabel,parameters.advancedOpt.yMax,parameters.advancedOpt.yMin,parameters.advancedOpt.zMax,parameters.advancedOpt.zMin,parameters.chromInfo,parameters.dbkey,parameters.matrixFile.values,parameters.output.__current_case__,parameters.output.dpi,parameters.output.outFileFormat,parameters.output.saveMatrix,parameters.output.saveSortedRegions,parameters.output.showOutputSettings,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-11-17 03:14:50.272467,slurm_normal,,main_w4_handler1,2990098,17488372,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11546447,slurm,,235976295,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['RdYlBu'],TES,25.0,7.5,black,true,,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 32334387}]",0,,,,,no,,42055717,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-11-17 03:17:44.300909,67501,174.028442
2017-08-04 22:48:08.358154,slurm_normal,,main_w4_handler1,3196850,16508050,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10577983.roundup,slurm,,11083179,deeptools_compute_matrix_archive,corral-repl,,0,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30594386}]",0,,,,,no,,39387147,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-08-04 22:51:48.120663,106192,219.76250900000002
2017-11-19 07:55:46.094060,slurm_normal,,main_w4_handler1,3330013,17506100,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11567112,slurm,,499669069,deeptools_compute_matrix_archive,corral-repl,,0,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","[{'src': 'hda', 'id': 32393714}]",0,,,,,no,,41934487,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-11-19 10:29:46.807529,21426,9240.713469
2017-10-03 20:43:22.077742,slurm_normal,,main_w4_handler1,2294490,17015514,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11070281.roundup,slurm,,216112779,deeptools_compute_matrix_archive,corral-repl,,0,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm9.len""","""mm9""","[{'src': 'hda', 'id': 31542859}]",0,,,,,no,,41024931,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-10-03 20:46:02.680737,63154,160.60299500000002
2017-05-15 15:46:57.963247,slurm_normal,,main_w3_handler1,2637453,15839655,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",9940614.roundup,slurm,,195402116,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['RdYlBu'],TES,25.0,7.5,black,false,,TSS,,,yes,descend,mean,TSS,0.0,2.0,none,,,no,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29594749}]",0,,,,,no,,37943084,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-05-15 15:50:20.445688,80859,202.48244100000002
2017-10-10 14:59:41.712914,slurm_normal,,main_w4_handler0,3278164,17066717,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11128592.roundup,slurm,,386484329,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['RdYlBu'],TES,25.0,7.5,black,true,,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31630891}]",0,,,,,no,,41050734,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-10-10 21:24:25.335091,91117,23083.622177
2017-12-08 18:45:34.024018,slurm_normal,,main_w3_handler0,3338739,17749691,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11816578,slurm,,96179555,deeptools_compute_matrix_archive,corral-repl,,0,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","[{'src': 'hda', 'id': 32819239}]",1,300,png,false,false,yes,,42244089,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-12-08 18:49:32.087362,66153,238.063344
2017-09-29 13:11:00.201520,slurm_normal,,main_w4_handler0,3270244,16972305,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11039946.roundup,slurm,,10712799,deeptools_compute_matrix_archive,corral-repl,,0,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 31479816}]",0,,,,,no,,40958888,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-09-29 13:14:07.905887,104792,187.70436700000002
2017-09-04 09:05:29.648951,slurm_normal,,main_w3_handler0,1796147,16728888,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10797318.roundup,slurm,,213714343,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['RdYlBu'],TES,25.0,7.5,black,false,,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 31087066}]",0,,,,,no,,39545215,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-09-04 09:08:43.529459,35884,193.88050800000002
2017-12-06 12:12:10.462483,slurm_normal,,main_w3_handler1,3351944,17717077,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11782483,slurm,,60185571,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['RdYlBu'],TES,25.0,7.5,black,false,,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 32762871}]",1,300,png,false,false,yes,,42446693,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-12-06 12:14:51.247987,21426,160.785504
2017-07-14 19:40:16.413392,slurm_normal,,main_w4_handler0,3157491,16348050,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10413488.roundup,slurm,,1779654,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['RdYlBu'],TES,25.0,7.5,black,false,,TSS,,,yes,descend,mean,TSS,0.0,1.0,hclust,,1,no,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 30497235}]",0,,,,,no,,39165339,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-07-14 19:42:25.177616,107740,128.764224
2017-11-07 10:41:54.244446,slurm_normal,,main_w3_handler0,2716612,17359745,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11422285,slurm,,121432648,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['Reds'],TES,10.0,7.5,black,true,,TSS,,DNaseI_0h DNaseI_3h DNaseI_6h,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 32114706}]",1,200,png,true,true,yes,,41809462,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-11-07 12:19:11.687709,70907,5837.443263
2018-01-13 07:18:01.192835,slurm_normal,,main_w3_handler1,3390306,18025347,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12102765,slurm,,515417972,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['RdYlBu'],TES,25.0,7.5,black,true,All HG19 kLANA and BRD ChIP-Seq,TSS,,"""BCBL-1 BRD2 No I-BET Input"" ""BCBL-1 BRD2 No I-BET ChIP"" ""BCBL-1 BRD2 I-BET Input"" ""BCBL-1 BRD2 I-BET ChIP"" ""BCBL-1 BRD2/4 No I-BET Input"" ""BCBL-1 BRD2 No I-BET ChIP"" ""BCBL-1 BRD4 No I-BET ChIP"" ""BCBL-1 BRD2/4 I-BET Input"" ""BCBL-1 BRD2 I-BET ChIP"" ""BCBL-1 BRD4 I-BET ChIP"" ""BCBL-1 kLANA No I-BET IgG"" ""BCBL-1 kLANA No I-BET ChIP"" ""BCBL-1 kLANA I-BET IgG"" ""BCBL-1 kLANA I-BET ChIP"" ""BCBL-1 kLANA No I-BET Input"" ""BCBL-1 kLANA No I-BET ChIP"" ""BCBL-1 kLANA I-BET Input"" ""BCBL-1 kLANA I-BET ChIP"" ""BCBL-1 kLANA 0h Input"" ""BCBL-1 kLANA 0h ChIP"" ""BCBL-1 kLANA 3h Input"" ""BCBL-1 kLANA 3h ChIP"" ""BJAB kLANA No I-BET Input"" ""BJAB kLANA No I-BET ChIP"" ""BJAB kLANA I-BET Input"" ""BJAB kLANA I-BET ChIP"" ""BJAB kLANA No I-BET Input"" ""BJAB kLANA No I-BET ChIP"" ""BJAB kLANA I-BET Input"" ""BJAB kLANA I-BET ChIP"" ""BJAB-rKSHV.219 kLANA No I-BET Input"" ""BJAB-rKSHV.219 kLANA No I-BET ChIP"" ""BJAB-rKSHV.219 kLANA I-BET Input"" ""BJAB-rKSHV.219 kLANA I-BET ChIP"" ""BJAB-rKSHV.219 kLANA No I-BET Input"" ""BJAB-rKSHV.219 kLANA No I-BET ChIP"" ""BJAB-rKSHV.219 kLANA I-BET Input"" ""BJAB-rKSHV.219 kLANA I-BET ChIP""",yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33294867}]",1,300,png,false,false,yes,,43179160,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2018-01-13 07:21:21.792513,58780,200.599678
2017-09-20 14:40:41.584971,slurm_normal,,main_w3_handler0,3243177,16876782,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10941882.roundup,slurm,,42758055,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['RdYlBu'],TES,25.0,7.5,black,false,,TSS,,,yes,descend,mean,TSS,0.0,1.0,hclust,,3,no,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","[{'src': 'hda', 'id': 31320357}]",0,,,,,no,,40184742,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-09-20 14:55:32.657734,110321,891.072763
2017-09-04 14:48:59.447956,slurm_normal,,main_w4_handler1,1796147,16730649,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10799114.roundup,slurm,,213714343,deeptools_compute_matrix_archive,corral-repl,,0,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 31087066}]",0,,,,,no,,39545215,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-09-04 14:52:11.359058,35884,191.911102
2017-10-10 23:06:34.018922,slurm_normal,,main_w4_handler1,3278164,17071593,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11129265.roundup,slurm,,386484329,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['RdYlBu'],TES,25.0,7.5,black,true,,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 31630891}]",0,,,,,no,,41050734,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-10-10 23:09:22.240249,91117,168.221327
2018-01-11 17:00:45.775864,slurm_normal,,main_w4_handler0,3383955,18004954,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12082022,slurm,,98087624,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['Blues'],TES,20.0,10.0,black,false,DNase-seq Analysis bipolar neuron,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33265455}]",1,400,png,false,false,yes,,43089228,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2018-01-11 17:03:21.802709,119351,156.026845
2017-07-22 16:49:25.819059,slurm_normal,,main_w4_handler0,3163407,16395262,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10459428.roundup,slurm,,253522536,deeptools_compute_matrix_archive,corral-repl,,0,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 30562825}]",0,,,,,no,,39452844,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-07-22 16:53:05.342254,93301,219.52319500000002
2018-01-13 07:17:30.704808,slurm_normal,,main_w4_handler1,3390306,18025345,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12102762,slurm,,515417972,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['RdYlBu'],TES,25.0,7.5,black,false,All HG19 kLANA and BRD ChIP-Seq,TSS,,"""BCBL-1 BRD2 No I-BET Input"" ""BCBL-1 BRD2 No I-BET ChIP"" ""BCBL-1 BRD2 I-BET Input"" ""BCBL-1 BRD2 I-BET ChIP"" ""BCBL-1 BRD2/4 No I-BET Input"" ""BCBL-1 BRD2 No I-BET ChIP"" ""BCBL-1 BRD4 No I-BET ChIP"" ""BCBL-1 BRD2/4 I-BET Input"" ""BCBL-1 BRD2 I-BET ChIP"" ""BCBL-1 BRD4 I-BET ChIP"" ""BCBL-1 kLANA No I-BET IgG"" ""BCBL-1 kLANA No I-BET ChIP"" ""BCBL-1 kLANA I-BET IgG"" ""BCBL-1 kLANA I-BET ChIP"" ""BCBL-1 kLANA No I-BET Input"" ""BCBL-1 kLANA No I-BET ChIP"" ""BCBL-1 kLANA I-BET Input"" ""BCBL-1 kLANA I-BET ChIP"" ""BCBL-1 kLANA 0h Input"" ""BCBL-1 kLANA 0h ChIP"" ""BCBL-1 kLANA 3h Input"" ""BCBL-1 kLANA 3h ChIP"" ""BJAB kLANA No I-BET Input"" ""BJAB kLANA No I-BET ChIP"" ""BJAB kLANA I-BET Input"" ""BJAB kLANA I-BET ChIP"" ""BJAB kLANA No I-BET Input"" ""BJAB kLANA No I-BET ChIP"" ""BJAB kLANA I-BET Input"" ""BJAB kLANA I-BET ChIP"" ""BJAB-rKSHV.219 kLANA No I-BET Input"" ""BJAB-rKSHV.219 kLANA No I-BET ChIP"" ""BJAB-rKSHV.219 kLANA I-BET Input"" ""BJAB-rKSHV.219 kLANA I-BET ChIP"" ""BJAB-rKSHV.219 kLANA No I-BET Input"" ""BJAB-rKSHV.219 kLANA No I-BET ChIP"" ""BJAB-rKSHV.219 kLANA I-BET Input"" ""BJAB-rKSHV.219 kLANA I-BET ChIP""",yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33294867}]",1,300,png,false,false,yes,,43179160,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2018-01-13 07:21:08.793394,58780,218.08858600000002
2017-12-11 22:27:23.173075,slurm_normal,,main_w3_handler1,3100738,17777927,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11846043,slurm,,147593804,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['RdYlBu'],,25.0,7.5,black,true,,,,,yes,descend,mean,,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 32864828}]",0,,,,,no,,41498864,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-12-11 22:31:20.836185,105375,237.66311000000002
2017-11-11 03:59:35.567793,slurm_normal,,main_w3_handler0,3315550,17417013,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11479163,slurm,,82464162,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['RdYlBu'],TES,25.0,7.5,black,false,,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 32243549}]",0,,,,,no,,41926119,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-11-11 04:02:11.022117,115597,155.454324
2017-11-20 08:09:37.084306,slurm_normal,,main_w3_handler0,3330013,17514368,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11574145,slurm,,558636680,deeptools_compute_matrix_archive,corral-repl,,0,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","[{'src': 'hda', 'id': 32396745}]",1,200,png,false,false,yes,,42062784,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-11-20 08:13:12.768846,21426,215.68454000000003
2018-01-17 08:01:48.353775,slurm_normal,,main_w4_handler0,3391672,18057276,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12135001,slurm,,113845096,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['RdYlBu'],TES,25.0,7.5,black,false,,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 33341242}]",0,,,,,no,,43231373,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2018-01-17 08:04:08.753253,119443,140.39947800000002
2017-12-01 19:12:49.014872,slurm_normal,,main_w4_handler1,3338739,17667101,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11729709,slurm,,94639054,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['RdYlBu'],TES,25.0,7.5,black,false,,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","[{'src': 'hda', 'id': 32678141}]",0,,,,,no,,42244089,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-12-01 21:41:38.381724,66153,8929.366852000001
2017-11-19 10:31:09.733757,slurm_normal,,main_w4_handler1,3330013,17506561,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11567121,slurm,,499669069,deeptools_compute_matrix_archive,corral-repl,,0,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","[{'src': 'hda', 'id': 32393714}]",0,,,,,no,,42062784,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-11-19 10:34:14.569789,21426,184.83603200000002
2018-01-24 16:10:01.129944,slurm_normal,,main_w3_handler1,3401987,18145259,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12225698,slurm,,43227938,deeptools_compute_matrix_archive,corral-repl,,0,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","[{'src': 'hda', 'id': 33480554}]",0,,,,,no,,43388343,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2018-01-24 16:13:01.771888,21026,180.64194400000002
2017-11-07 06:17:49.201691,slurm_normal,,main_w3_handler1,2716612,17354888,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11418987,slurm,,27022352,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['Reds'],TES,10.0,7.5,black,true,,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","[{'src': 'hda', 'id': 32107041}]",1,200,png,false,true,yes,,41796227,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-11-07 08:00:05.169868,70907,6135.968177000001
2017-08-03 06:49:36.354162,slurm_normal,,main_w4_handler0,2393221,16495150,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10564653.roundup,slurm,,131428857,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['RdYlBu'],TES,15.0,7.5,black,false,,TSS,Genes,,yes,descend,mean,TSS,0.0,0.0,kmeans,0,,no,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 30742845}]",1,300,png,false,false,yes,,39597665,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-08-03 06:52:45.499154,67238,189.144992
2017-09-21 20:09:39.315895,slurm_normal,,main_w4_handler1,3251284,16892833,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10961354.roundup,slurm,,294311509,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['RdYlBu'],TES,25.0,7.5,black,false,,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/mm10.len""","""mm10""","[{'src': 'hda', 'id': 31355369}]",1,200,pdf,false,false,yes,,40513123,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-09-21 20:12:32.843936,45074,173.528041
2017-08-31 16:20:01.606414,slurm_normal,,main_w4_handler0,2898196,16704975,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",10778091.roundup,slurm,,585229703,deeptools_compute_matrix_archive,corral-repl,,1,1.0,mean,,['RdYlBu'],TES,25.0,7.5,black,false,,TSS,,,yes,descend,mean,TSS,1.0,,,,,yes,"plot, heatmap and colorbar",distance from TSS (bp),genes,,,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""","[{'src': 'hda', 'id': 31062415}]",1,200,png,true,false,yes,,40079494,error,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_plot_heatmap/deeptools_plot_heatmap/2.5.0.0,2.5.0.0,,2017-08-31 17:39:22.879098,95123,4761.2726840000005
