create_time,destination_id,exit_code,fastq,fastq2,fastq2_filetype,fastq_filetype,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.allow_and_ignore_empty_lines,parameters.chromInfo,parameters.comment,parameters.dbkey,parameters.description,parameters.input_type.__current_case__,parameters.input_type.fastq,parameters.input_type.fastq.values,parameters.input_type.fastq2,parameters.input_type.fastq2.values,parameters.input_type.input_type_selector,parameters.library_name,parameters.max_q,parameters.min_q,parameters.platform,parameters.platform_unit,parameters.predicted_insert_size,parameters.quality_format,parameters.read_group_name,parameters.run_date,parameters.sample_name,parameters.sequencing_center,parameters.strip_unpairied_mate_number,parameters.validation_stringency,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-06-20 13:37:36.962570,slurm_normal,,5321477425,5321477425.0,fastqsanger,fastqsanger,main_w2_handler0,2519831,13210504,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7395041.roundup,slurm,,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57c7da347e4f353df'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5817ae1de0cc95a13'}]",pe,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",,29469835,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.136.0,1.136.0,,2016-06-20 13:41:05.768162,60465,208.80559200000002
2016-04-11 12:22:17.536314,slurm_normal,,6199073909,,,fastq,main_w2_handler1,2663991,12416902,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6617918.roundup,slurm,,corral-repl,,"""False""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",0,24253229.0,,,,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""False""","""LENIENT""",,29183917,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.136.0,1.136.0,,2016-04-11 12:25:52.151689,81363,214.615375
2016-04-14 09:54:29.993197,slurm_normal,,3754963299,3754963299.0,fastqsanger,fastqsanger,main_w1_handler2,2668795,12450381,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6647932.roundup,slurm,,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5ace82d7b35170982'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b535c74b5d6b2c49c4'}]",pe,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",,29040449,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.136.0,1.136.0,,2016-04-14 09:59:33.307385,79509,303.314188
2016-03-09 16:41:38.869720,slurm_normal,,9040979401,,,fastq,main_w1_handler2,1889541,12084904,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6309635.roundup,slurm,,corral-repl,,"""False""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",0,23750513.0,,,,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""False""","""LENIENT""",,28898554,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.136.0,1.136.0,,2016-03-09 16:48:16.668338,48354,397.79861800000003
2016-04-13 20:13:41.363891,slurm_normal,,1557070506,1557070506.0,fastq,fastq,main_w2_handler0,2663617,12445526,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6643410.roundup,slurm,,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e4ed406b1effe4b8'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b692329f0039963f'}]",pe,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",,29522744,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.136.0,1.136.0,,2016-04-13 20:20:43.968939,82197,422.605048
2016-04-11 17:18:36.009332,slurm_normal,,2730718118,2730718118.0,fastq,fastq,main_w1_handler1,2663617,12420018,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6621147.roundup,slurm,,corral-repl,,"""False""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",1,24255284.0,,24255281.0,,pe,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""False""","""LENIENT""",,29541776,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.136.0,1.136.0,,2016-04-11 17:22:46.381950,82197,250.37261800000002
2016-04-09 12:47:04.759196,slurm_normal,,6199073909,,,fastq,main_w2_handler1,2643667,12399659,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6599579.roundup,slurm,,corral-repl,,"""False""","""/galaxy-repl/localdata/chrom/hg18.len""","""""","""hg18""","""""",0,24197022.0,,,,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""False""","""LENIENT""",,29183917,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.136.0,1.136.0,,2016-04-09 12:49:05.163192,81363,120.403996
2016-06-29 19:32:03.179134,slurm_normal,,7771909804,,,fastqsanger,main_w1_handler0,2563496,13289362,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7485992.roundup,slurm,,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/mm9.len""","""""","""mm9""","""""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f696830b9978c311'}]",,,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",,31142695,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.136.0,1.136.0,,2016-06-29 19:44:54.723026,79772,771.543892
2016-04-13 18:11:54.666401,slurm_normal,,9068378751,,,fastq,main_w2_handler0,2663991,12444468,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6642508.roundup,slurm,,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/hg18.len""","""""","""hg18""","""""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b58c338d715276f311'}]",,,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",,29183917,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.136.0,1.136.0,,2016-04-13 18:17:08.630772,81363,313.964371
2016-07-01 18:38:41.645561,slurm_normal,,7771909804,,,fastqsanger,main_w2_handler1,2563496,13307891,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7509789.roundup,slurm,,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/mm9.len""","""""","""mm9""","""""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f696830b9978c311'}]",,,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",,31142695,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.136.0,1.136.0,,2016-07-01 18:45:31.062944,79772,409.41738300000003
2016-04-07 20:48:20.781861,slurm_normal,,6199073909,,,fastq,main_w1_handler2,2643667,12375674,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6572702.roundup,slurm,,corral-repl,,"""False""","""/galaxy-repl/localdata/chrom/hg18.len""","""""","""hg18""","""""",0,24195773.0,,,,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""False""","""LENIENT""",,29183917,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.136.0,1.136.0,,2016-04-07 20:55:13.341840,81363,412.559979
2016-07-01 08:43:46.522683,slurm_normal,,2776381948,,,fastq,main_w2_handler0,2510757,13303754,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7505533.roundup,slurm,,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e6429bb925caa1a2'}]",,,se,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",,31217585,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.136.0,1.136.0,,2016-07-01 08:49:35.339260,56575,348.816577
2016-09-22 07:46:27.145729,slurm_normal,,3313724647,3313724647.0,fastq,fastq,main_w3_handler0,2168848,13913712,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8136227.roundup,slurm,,corral-repl,,"""false""","""/galaxy-repl/localdata/chrom/?.len""","""""","""?""","""""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a88bf7d19efe8b23'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5b564d13b0f58f0e4'}]",pe,"""""","""93""","""0""","""""","""""","""""","""Standard""","""A""","""""","""sample-a""","""""","""false""","""LENIENT""",,33068994,error,toolshed.g2.bx.psu.edu/repos/devteam/picard/picard_FastqToSam/1.136.0,1.136.0,,2016-09-22 08:10:07.801953,58065,1420.656224
